-1	-1	620
-0.79856	-1	1315
-0.61151	-1	2120
-0.41007	-1	2600
-0.20863	-1	3110
-0.0071942	-1	3535
0.19424	-1	3935
0.39568	-1	4465
0.59712	-1	4530
0.79856	-1	4570
1	-1	4600
-1	-0.33333	625
-0.79856	-0.33333	1215
-0.61151	-0.33333	2110
-0.41007	-0.33333	2805
-0.20863	-0.33333	3255
-0.0071942	-0.33333	4015
0.19424	-0.33333	4315
0.39568	-0.33333	4495
0.59712	-0.33333	4535
0.79856	-0.33333	4600
1	-0.33333	4600
-1	0.33333	590
-0.79856	0.33333	1305
-0.61151	0.33333	2140
-0.41007	0.33333	2890
-0.20863	0.33333	3920
-0.0071942	0.33333	3920
0.19424	0.33333	4515
0.39568	0.33333	4520
0.59712	0.33333	4525
0.79856	0.33333	4565
1	0.33333	4566
-1	1	590
-0.79856	1	1205
-0.61151	1	1915
-0.41007	1	2140
-0.20863	1	2710
-0.0071942	1	3020
0.19424	1	3030
0.39568	1	3040
0.59712	1	3180
0.79856	1	3257
1	1	3214
