% ----------------------------------------------------------------------------
% This file contains profiled data created with the SUMO Toolbox profiler v7.0
% 
%   * Name: MemoryUse_outinverse
%   * Description: JVM Memory Usage
%   * Date: 04/03/2010 at 09:35
% 
%   * Column1: 	sampleSize: 	Number of samples
%   * Column2: 	usage: 	JVM memory usage (MB)
%   * Column3: 	available: 	Available JVM memory (MB)
%
% ----------------------------------------------------------------------------

2.400000000E1	9.900000000E1	2.500000000E1	
3.200000000E1	1.130000000E2	1.100000000E1	
3.200000000E1	7.700000000E1	4.700000000E1	
4.200000000E1	8.500000000E1	3.900000000E1	
4.200000000E1	1.030000000E2	2.100000000E1	
5.200000000E1	1.070000000E2	1.700000000E1	
6.000000000E1	1.010000000E2	2.300000000E1	
6.000000000E1	1.190000000E2	5.000000000E0	
6.900000000E1	7.700000000E1	4.700000000E1	
6.900000000E1	9.300000000E1	3.100000000E1	
7.800000000E1	9.200000000E1	3.200000000E1	
7.800000000E1	9.000000000E1	3.400000000E1	
8.600000000E1	9.800000000E1	2.600000000E1	
9.500000000E1	8.100000000E1	4.300000000E1	
9.500000000E1	8.100000000E1	4.300000000E1	
1.030000000E2	9.700000000E1	2.700000000E1	
1.080000000E2	9.200000000E1	3.200000000E1	
1.090000000E2	1.020000000E2	2.200000000E1	
