-0.14286	0.067432	3.741
-0.14286	-0.35151	2.295
-0.14286	0.64419	1.498
-0.14286	0.3802	2.881
-0.14286	0.87661	0.76
-0.71429	0.33716	3.12
-0.71429	0.99713	0.638
-0.71429	0.68723	1.17
-0.14286	0.45481	2.358
-0.14286	0.95122	0.606
-0.14286	0.13343	3.669
-0.14286	0.77044	1
0.42857	0.73027	0.981
1	-0.81062	1.192
-1	-0.53802	0.926
-0.14286	-0.56671	1.59
-0.14286	0.54089	1.806
0.42857	0.54663	1.962
0.42857	0.14491	4.028
-0.71429	-0.21664	3.148
-0.71429	0.53802	1.836
-1	0.36011	2.845
-1	0.74175	1.013
1	0.99139	0.414
1	0.83644	0.812
0.42857	-0.90531	0.374
0.42857	0.26829	3.623
-1	-0.33429	1.869
-1	0.35151	2.836
-0.71429	0.02726	3.567
0.42857	0.77044	0.866
0.42857	-0.54663	1.369
0.42857	1	0.542
0.42857	0.43759	2.739
0.42857	0.69297	1.2
-0.71429	0.56671	1.719
-0.71429	-0.044476	3.423
-1	-0.34864	1.634
-1	0.74749	1.021
-1	0.46341	2.157
1	-0.24821	3.361
1	0.66428	1.39
1	0.53515	1.947
1	0.9627	0.962
-0.71429	-0.70732	0.571
-0.71429	-0.43185	2.219
-0.71429	-0.4835	1.419
-0.71429	-0.032999	3.519
-1	-0.34003	1.732
-1	-0.015782	3.206
-1	-0.20803	2.471
0.42857	-0.59541	1.777
1	0.46341	2.571
1	0.24247	3.952
0.42857	-0.1076	3.931
0.42857	-0.57245	1.587
-1	-0.44333	1.397
-1	0.07891	3.536
-1	-0.21664	2.202
-1	0.81636	0.756
-1	-0.38594	1.62
-1	0.02439	3.656
-1	0.34003	2.964
1	-0.20516	3.76
1	0.99426	0.672
1	-0.22812	3.677
-0.14286	-0.2023	3.517
-0.14286	0.34003	3.29
-0.71429	-0.53802	1.139
-0.71429	0.90531	0.727
-0.71429	0.42037	2.581
0.42857	-0.80775	0.923
0.42857	-0.54376	1.527
0.42857	-0.19369	3.388
0.42857	0.44046	2.085
0.42857	0.85366	0.966
-1	0.044476	3.488
-1	0.98565	0.754
-0.71429	0.85079	0.797
-1	-0.25395	2.064
1	0.3056	3.732
1	0.91105	0.586
-1	-0.73027	0.561
-0.71429	-0.79053	0.563
-0.14286	-0.8594	0.678
0.42857	-0.92253	0.37
1	-1	0.53
1	-0.65567	1.9
